ID;L;v;w;q_max;rho_max;t
0;0.65;104;36;1958;74;0.002777778
1;0.56;103;30;1799;78;0.002777778
2;0.61;103;27;1753;83;0.002777778
3;0.23;103;28;1874;85;0.002777778
4;0.34;103;33;1780;71;0.002777778
5;0.54;103;35;1847;71;0.002777778
6;0.29;103;38;1985;72;0.002777778
7;0.31;103;40;2092;73;0.002777778
8;0.59;103;40;2002;69;0.002777778
9;0.6;96;29;1714;77;0.002777778
10;0.41;96;29;1705;76;0.002777778
11;0.2;103;33;1845;74;0.002777778
12;0.7;103;35;1924;74;0.002777778
13;0.53;104;29;1696;76;0.002777778
14;0.51;103;28;1726;78;0.002777778
