ID;L;v;w;q_max;rho_max;t
1;0.31;113;21;1730;96;0.002777778
2;0.38;114;27;1765;80;0.002777778
3;0.56;114;28;1794;79;0.002777778
4;0.49;114;25;1793;87;0.002777778
5;0.31;113;32;1989;79;0.002777778
6;0.41;112;32;2005;80;0.002777778
7;0.44;112;56;2148;58;0.002777778
8;0.42;111;55;2513;68;0.002777778
9;0.33;109;55;2296;63;0.002777778
10;0.56;108;37;2000;72;0.002777778
11;0.34;108;35;2000;74;0.002777778
12;0.26;108;38;2000;76;0.002777778
13;0.32;109;39;2000;72;0.002777778
14;0.22;108;50;2000;70;0.002777778
15;0.59;108;40;2000;77;0.002777778
