generation;i;j;delta;beta;integral;pi;fitness
0;1;9;211;0,00030405769731440825;372,4756761317587;0,003216883837593162;26847,390690990043
0;3;4;88;0,11301643472760997;306,11868618686765;0,17185933101779957;32667,068203394752
0;5;9;40;0,15467092140074856;310,2003328381296;0,1827793595163215;32237,2316899423
0;2;9;91;0,12405371852256673;297,82990471416934;0,16984938592375165;33576,21193075662
0;6;7;14;0,13612854050910664;289,38712282086016;0,1899458005115805;34555,787771490846
0;2;4;112;0,06876082398926056;314,00327500593926;0,14711371950348293;31846,801597247206
0;7;9;75;0,07295622464989963;336,5055138114685;0,1515232784398422;29717,195081690777
0;3;8;88;0,11301643472760997;291,58478454725025;0,1700205982156982;34295,34231536535
0;2;6;40;0,15467092140074856;332,8461552929649;0,11649031274493864;30043,91019988856
0;5;6;88;0,11301643472760997;307,97659152348217;0,17106662678511517;32470,00023778604
0;6;7;155;0,13612854050910664;249,6407654653583;0,16854013848088498;40057,56023604111
0;2;9;91;0,010050369548859696;368,01434981021714;0,019976950425883575;27172,85346388515
0;2;4;91;0,12405371852256673;299,1965829032049;0,1721070229200107;33422,841607904214
0;5;9;651;0,13612854050910664;211,65972215075445;0,18251312007259052;47245,64455809646
0;5;6;40;0,15467092140074856;333,58596023835;0,10606103475713384;29977,280796994317
1;4;8;651;0,13612854050910664;209,48513989550366;0,18491866114979197;47736,08287914
1;6;8;651;0,13612854050910664;208,91799798284907;0,18089375698620558;47865,67024647125
1;3;9;651;0,13612854050910664;212,06406785152822;0,17762895170721843;47155,56058747901
1;3;8;282;0,13612854050910664;223,57354951093777;0,14898425750299923;44728,0101866915
1;3;8;415;0,13612854050910664;210,5426880734656;0,19874640243397354;47496,306290678
1;5;9;651;0,08068897581260281;218,73347742872735;0,17740047127751238;45717,73885530816
1;5;9;88;0,1567422690319737;290,3554023989921;0,1699984384540677;34440,5508469186
1;3;8;257;0,13612854050910664;232,4589443030487;0,16447590942995913;43018,34902495017
1;6;9;651;0,13612854050910664;211,25166906187567;0,18102153614823255;47336,90410309136
1;7;8;155;0,13612854050910664;300,6894727629415;0,1664445349125214;33256,90090881177
1;5;9;634;0,13612854050910664;211,60340802178655;0,1762799763493578;47258,218066934
2;4;9;415;0,13612854050910664;212,8581026428909;0,19413987898964913;46979,65393770733
2;6;8;414;0,13612854050910664;210,72067984276435;0,18240950673755277;47456,18705986429
2;6;9;651;0,10355023902407193;214,2489936945019;0,17837111581058854;46674,66496603023
2;6;8;651;0,0067330573400947065;313,7928695424152;0,16996453202538403;31868,155623110186
2;7;8;415;0,13612854050910664;264,2342024100108;0,17304535165486842;37845,21424097495
2;4;9;415;0,13612854050910664;212,8581026428909;0,19413987898964913;46979,65393770733
2;4;9;173;0,13612854050910664;265,86769251622104;0,15766509914013027;37612,69338654182
2;3;12;651;0,13612854050910664;389,38697295978415;0,16935241577007487;25681,393303912093
3;6;8;415;0,13612854050910664;210,84468800069288;0,177025761334643;47428,275736152944
3;2;8;651;0,13612854050910664;210,32080672293566;0,17789309877570628;47546,41329030948
3;4;11;651;0,13612854050910664;216,50037438951176;0,17090541057005176;46189,29656910766
3;1;8;415;0,13612854050910664;210,69711484903036;0,19061102699568805;47461,4947013643
3;4;8;651;0,022203895074966097;258,82889086254147;0,17206778512992027;38635,563312407765
3;6;8;651;0,19679590546154938;206,15453084046004;0,18552789151840637;48507,30158212653
3;6;8;44;0,13612854050910664;303,6780289789179;0,16421044821740136;32929,6130958958
3;6;8;627;0,13612854050910664;209,24822748334378;0,2069882585257663;47790,130030114604
3;4;12;651;0,13612854050910664;389,3557891139076;0,16935241577007487;25683,45014917567
3;4;8;651;0,037902301241030334;236,97858171887555;0,1739435529678585;42197,90635705156
3;1;8;651;0,13612854050910664;210,61091801249503;0,17593209914521477;47480,91929121511
4;6;8;545;0,13612854050910664;209,00896560214633;0,20178321946504418;47844,83752259338
4;6;8;651;0,0198167523864903;263,4746824142417;0,17114089107989963;37954,31085965877
4;2;8;651;0,13612854050910664;210,32080672293566;0,17789309877570628;47546,41329030948
4;6;8;651;0,1958075414775598;206,19338325561048;0,18545465448095325;48498,16149339458
4;6;8;651;0,11833408859883505;210,10522040342025;0,1794787701913245;47595,20006594378
4;6;8;627;0,09971424446416602;213,44010314640008;0,19813336536418777;46851,55157154759
4;6;8;651;0,15010256944086947;208,18890814400396;0,1819867856074235;48033,298647606214
4;6;8;619;0,13612854050910664;209,06600419613102;0,13930291130302525;47831,78421786214
4;6;11;651;0,13612854050910664;216,28034154508492;0,1736253391932639;46236,28725829176
4;6;7;651;0,13612854050910664;203,34982017321227;0,18283692913373226;49176,340512531824
5;6;8;651;0,01780405034511723;268,03006799068646;0,17096104322009256;37309,246962350066
5;6;7;651;0,1542215513179074;201,88905455357;0,1844462065427037;49532,15528257656
5;6;8;651;0,16822507593370137;207,35000001953534;0,18338112909184823;48227,63442998725
5;6;7;651;0,19679590546154938;198,94000504447772;0,1880852211268645;50266,41070891832
5;6;12;651;0,19679590546154938;417,7694266401725;0,16935241577007468;23936,648692612598
5;6;7;651;0,15010256944086947;202,205564540185;0,18408324020798095;49454,62318378813
5;6;7;651;0,0440249100178431;230,56833690660852;0,17400038978669105;43371,08960477297
5;6;8;571;0,13612854050910664;209,11607439772746;0,16964229266432862;47820,33150153986
5;6;10;651;0,19679590546154938;209,80034789832408;0,18545925613416397;47664,36328716823
5;6;7;651;0,12697813586358853;204,19911757014012;0,18200811329462901;48971,80810081176
6;6;7;597;0,19679590546154938;201,42242003242777;0,21849250183074412;49646,90623015085
6;6;12;651;0,19679590546154938;417,7694266401725;0,16935241577007468;23936,648692612598
6;6;7;184;0,19679590546154938;237,42431267319338;0,15643784450223017;42118,68568727696
6;3;7;651;0,19679590546154938;199,84953485037735;0,1973049200846685;50037,64460841385
6;6;7;651;0,0025383672900150425;350,4171626756072;0,13544214487987902;28537,415015991475
6;4;7;651;0,1542215513179074;202,3445785682073;0,19241824600276783;49420,647050492385
6;6;7;651;0,14692430034922196;202,45381519326955;0,1838018116691654;49393,98148883313
6;4;7;651;0,19679590546154938;199,54925482710308;0,19803061541479475;50112,940830895976
6;4;7;651;0,13612854050910664;203,74029118742158;0,18994316841204573;49082,09339310778
6;6;12;651;0,15010256944086947;394,57732125067287;0,16935241577007468;25343,575166214516
6;6;7;471;0,15010256944086947;204,376352137483;0,19744423234432373;48929,339893849596
7;6;11;651;0,19679590546154938;215,70543075546428;0,17534710406003912;46359,51892809114
7;4;7;414;0,19679590546154938;200,39734913352987;0,22002758513300807;49900,8596832124
7;4;7;323;0,19679590546154938;202,0581359918628;0,23210235697191234;49490,70697357475
7;6;7;651;0,019408310324165345;263,81646939706604;0,17143817924943172;37905,13921611602
7;6;7;651;0,1579477627268956;201,60824543212388;0,18477286241606086;49601,145918244365
7;4;8;651;0,19679590546154938;207,00412562226873;0,19110591070894825;48308,21593501727
7;4;7;339;0,19679590546154938;203,64962218148474;0,1536762065604994;49103,94575192672
7;3;7;564;0,19679590546154938;200,70011004230537;0,17086387352888074;49825,583044733314
7;6;10;651;0,19679590546154938;209,80034789832408;0,18545925613416397;47664,36328716823
8;6;9;651;0,19679590546154938;209,18238654846587;0,1857410273209135;47805,172151447274
8;6;7;414;0,19679590546154938;200,88900749634772;0,19713196271231367;49778,731671924885
8;3;7;651;0,10622574412837782;207,77752521343817;0,18530642485213428;48128,40074848116
8;6;7;414;0,16021923765923482;203,53700841783606;0,19241373977104298;49131,11417787594
8;4;7;475;0,19679590546154938;201,763132718943;0,20241812746057547;49563,06865997192
8;4;7;651;0,15188007965569003;202,51482929134528;0,19210105048932177;49379,09996513704
8;3;9;414;0,19679590546154938;209,84225502100958;0,20280915339812275;47654,844344857
8;3;7;208;0,19679590546154938;231,67221625938245;0,216706994428689;43164,433618591116
8;4;7;414;0,12622222606716169;206,21755090676947;0,2035578684640024;48492,4777548201
8;6;7;414;0,02156154205616514;279,6242511332981;0,1727071980212188;35762,27726840815
9;5;7;651;0,19679590546154938;199,33126227522266;0,19669140485795325;50167,74531931023
9;4;7;651;0,1318746642920999;204,11441711181655;0,1893531216854007;48992,129715765586
9;4;7;651;0,181426536412571;200,48803694269046;0,19603781907258386;49878,287764663495
9;4;11;651;0,19679590546154938;216,04092986722532;0,17151802227884524;46287,52526729917
9;6;12;651;0,19679590546154938;417,7694266401725;0,16935241577007468;23936,648692612598
9;6;7;651;0,13609375971733537;203,35287273040777;0,1828337980233313;49175,60231990113
9;4;7;651;0,10896749929571106;207,03537341996758;0,1861208905736477;48300,924787935524
9;1;7;651;0,19679590546154938;201,52610074623;0,1906173570044745;49621,36399687708
9;4;10;651;0,19679590546154938;210,69980226806368;0,1816104360396942;47460,88934282653
9;4;8;651;0,19679590546154938;207,00412562226873;0,19110591070894825;48308,21593501727
10;6;12;651;0,19679590546154938;417,7694266401725;0,16935241577007468;23936,648692612598
10;4;7;651;0,10896749929571106;207,03537341996758;0,1861208905736477;48300,924787935524
10;6;7;651;0,13609375971733537;203,35287273040777;0,1828337980233313;49175,60231990113
10;4;8;651;0,19679590546154938;207,00412562226873;0,19110591070894825;48308,21593501727
10;1;7;651;0,19679590546154938;201,52610074623;0,1906173570044745;49621,36399687708
10;4;7;651;0,181426536412571;200,48803694269046;0,19603781907258386;49878,287764663495
10;4;7;651;0,1318746642920999;204,11441711181655;0,1893531216854007;48992,129715765586
10;4;10;651;0,19679590546154938;210,69980226806368;0,1816104360396942;47460,88934282653
10;5;7;651;0,19679590546154938;199,33126227522266;0,19669140485795325;50167,74531931023
10;4;11;651;0,19679590546154938;216,04092986722532;0,17151802227884524;46287,52526729917
