hidden neurons h2; msle; best sol idx
first hidden layer 55 neurons;;
1;0.16873071527303155;53
2;0.16512573394016247;62
3;0.16976173448918472;69
4;0.1694499374473866;64
5;0.16664764922649705;75
6;0.16718232827400092;98
7;0.17071981987549892;57
8;0.16803454592156766;56
9;0.1661227205647758;76
10;0.1631507635561388;73
11;0.17217476166302886;50
12;0.1674388173355985;80
13;0.17112237284729137;72
14;0.16662179271676647;52
15;0.16455444880385897;64
16;0.17339039149865582;75
17;0.16520146832833835;88
18;0.17136795169381952;61
19;0.16147957442708277;65
20;0.1693047217320447;64
21;0.17026640726855738;59
22;0.16564330910865346;73
23;0.17106867202775394;58
24;0.16889117044299395;67
25;0.17339642566827992;62
26;0.1682661524311227;61
27;0.16627687315146128;65
28;0.1686853571762493;68
29;0.16424368707398276;84
30;0.17081475695270804;52
31;0.16657051298748796;60
32;0.16228665137172338;77
33;0.1686615669015628;72
34;0.16967143557261471;60
35;0.16916003242060912;72
36;0.16975972425581803;58
37;0.1696429328538885;89
38;0.16426757084789562;83
39;0.1721428313510335;73
40;0.1699570014257336;83
41;0.17624536036555447;31
42;0.16962913337038524;54
43;0.16827095275494588;73
44;0.16573349639254423;68
45;0.16660954755040544;54
46;0.16655207297102137;63
47;0.17191086116418317;56
48;0.174373592933019;73
49;0.17411829489677105;52
50;0.1719396419193021;59
51;0.17046274983171206;103
52;0.16328159407596682;77
53;0.1660405571484447;84
54;0.1644135870150666;59
55;0.1704367730748001;81
56;0.1707340164415872;104
57;0.1687223287660684;75
58;0.15901712109496938;80
59;0.1658998842707914;59
60;0.16461042434125397;74
61;0.1761674079284146;38
62;0.1669783255354089;72
63;0.17319251699234123;54
64;0.16764016237424975;98
65;0.16822674213653774;67
66;0.16836618754401136;76
67;0.1693933443940101;55
68;0.17016271514382528;63
69;0.16705533406924253;76
70;0.1692540596077098;73
71;0.17083993521495838;54
72;0.17130734451967686;64
73;0.16762448593751708;101
74;0.16852248576446552;85
75;0.16180006035821354;88
76;0.16666608976190955;65
77;0.1716652186504051;98
78;0.17094345905294467;47
79;0.16648086092958403;71
80;0.15794152048096727;90
81;0.17310513468524116;59
82;0.1693435282404743;84
83;0.1634861678626407;81
84;0.16929068111661655;72
85;0.16415600311103745;74
86;0.17021970189922483;59
87;0.16678767130149538;76
88;0.16825469681872657;60
89;0.17197538274734175;113
90;0.17592886938384517;24
91;0.1669008269831909;100
92;0.1744955503228885;50
93;0.15825346127078307;88
94;0.16748390970241964;65
95;0.16616199032880774;82
96;0.16607623336030475;67
97;0.1734357619611778;56
98;0.1614784394775457;71
99;0.1663746335168383;54
