i,j,delta,beta,priority,integral,max_delta,pi
1,2,60,0.01,0.2,2940.1178301608843,1.0845155117234158,-6.970249097055558e-05
1,3,60,0.01,0.2,2963.5757428437632,1.0933085216730913,-0.008178044648657314
1,4,60,0.01,0.2,3001.849077457746,1.1076763351262706,-0.02142710818923602
1,5,60,0.01,0.2,3022.6953705615365,1.1155009299498955,-0.02864244087262003
1,6,60,0.01,0.2,3045.4627333140347,1.1239810710310278,-0.03646227569878373
1,7,60,0.01,0.2,3086.867369226455,1.139233228928325,-0.0505268241960718
1,8,60,0.01,0.2,3169.895369299334,1.1571095263146338,-0.06701118353949573
1,9,60,0.01,0.2,3201.4831928672124,1.1690488666990426,-0.07802086708675997
1,10,60,0.01,0.2,3215.9932945965684,1.1746175636547456,-0.08315595740824584
1,11,60,0.01,0.2,3267.3087616315092,1.1939831777595844,-0.10101366781167277
1,12,60,0.01,0.2,3280.982961498671,1.1983969831423371,-0.10508379220202661
1,13,60,0.01,0.2,2702.770657570839,1.0604126036449737,0.022156432451875853
2,3,60,0.01,0.2,2940.1202939261807,1.0849154824050677,-0.000438529452208914
2,4,60,0.01,0.2,2978.409918416139,1.0992827054407497,-0.013687048548153564
2,5,60,0.01,0.2,2999.2609836720058,1.107106733591632,-0.020901858682772816
2,6,60,0.01,0.2,3022.03474367169,1.1155857901893051,-0.028720693468790727
2,7,60,0.01,0.2,3063.4555035946337,1.1308304947002596,-0.042778368937725054
2,8,60,0.01,0.2,3146.926304116206,1.1485548319879808,-0.059122600556886507
2,9,60,0.01,0.2,3178.5827665647957,1.1604791266706045,-0.07011840993605876
2,10,60,0.01,0.2,3193.0811131713212,1.1660240182488353,-0.07523154848598498
2,11,60,0.01,0.2,3244.3789494667462,1.1854054316448974,-0.09310382796869428
2,12,60,0.01,0.2,3258.106457610594,1.1897758625247634,-0.0971339552121851
2,13,60,0.01,0.2,2681.4287590293047,1.0521362641224272,0.0297883347294877
3,4,60,0.01,0.2,2940.0041629037514,1.0854532083318225,-0.0009343853452580653
3,5,60,0.01,0.2,2960.847460470566,1.093275223382155,-0.008147339129418358
3,6,60,0.01,0.2,2983.6204058643025,1.1017427914458824,-0.015955579936280634
3,7,60,0.01,0.2,3025.052379430556,1.1169244589861504,-0.029955126808769036
3,8,60,0.01,0.2,3109.2606011568764,1.1340007599505406,-0.04570178145824096
3,9,60,0.01,0.2,3141.02366080652,1.1464883243490884,-0.05721700155227819
3,10,60,0.01,0.2,3155.4897985789153,1.1520145346500463,-0.06231291344273989
3,11,60,0.01,0.2,3206.6971131322534,1.1711792588526653,-0.07998537623783411
3,12,60,0.01,0.2,3219.9489248913455,1.1755591481913155,-0.08402422545713817
3,13,60,0.01,0.2,2646.406458621527,1.0386104816290591,0.0422609320578604
4,5,60,0.01,0.2,2939.8969108133424,1.0848606240991308,-0.00038794268871451164
4,6,60,0.01,0.2,2962.6133175155046,1.0932911580832374,-0.008162033074870042
4,7,60,0.01,0.2,3003.975645979697,1.1082982752547257,-0.022000620944478085
4,8,60,0.01,0.2,3088.6666920889475,1.1249736786524571,-0.03737759391961357
4,9,60,0.01,0.2,3120.459453290287,1.1376673864428948,-0.049082906048637145
4,10,60,0.01,0.2,3134.8984143870894,1.143162498050682,-0.054150140745927486
4,11,60,0.01,0.2,3186.0051275434726,1.162318236023482,-0.07181431702406146
4,12,60,0.01,0.2,3199.1722276474534,1.166711591092191,-0.07586558346424263
4,13,60,0.01,0.2,2627.246885383468,1.0312443277829055,0.04905352027425121
5,6,60,0.01,0.2,2939.893758619448,1.0844399235594047,2.866571399130218e-14
5,7,60,0.01,0.2,2981.1896735910377,1.0989468763767758,-0.013377368817005705
5,8,60,0.01,0.2,3066.329552503493,1.1166390733622253,-0.029691962738796044
5,9,60,0.01,0.2,3098.1997715408866,1.1280858363506578,-0.04024742343306947
5,10,60,0.01,0.2,3112.6138720025333,1.1335330352703479,-0.045270476164115
5,11,60,0.01,0.2,3163.6119913869857,1.1525432006849963,-0.0628004148925341
5,12,60,0.01,0.2,3177.1845482129074,1.1568075698553022,-0.06673273892235132
5,13,60,0.01,0.2,2606.398097540033,1.0232607999314465,0.05641541066395107
6,7,60,0.01,0.2,2940.102793360989,1.0844399235594042,2.9075224191177925e-14
6,8,60,0.01,0.2,3025.974637291489,1.101994246724151,-0.016187455647240532
6,9,60,0.01,0.2,3058.0058591270868,1.1133418498511944,-0.02665147756354679
6,10,60,0.01,0.2,3072.4018805987134,1.1187921403717307,-0.03167738116791324
6,11,60,0.01,0.2,3123.296362812305,1.1377922371136457,-0.04919803522088411
6,12,60,0.01,0.2,3137.8773172414194,1.1419230707230315,-0.05300722143732951
6,13,60,0.01,0.2,2568.6660179451155,1.00889891664232,0.06965900579274976
7,8,60,0.01,0.2,2934.40189996434,1.0844399235594178,1.658516309496769e-14
7,9,60,0.01,0.2,2959.3443165748427,1.0955437469391154,-0.010239224080974236
7,10,60,0.01,0.2,2971.174255364486,1.1008177066962097,-0.015102526918243184
7,11,60,0.01,0.2,3012.3155058489997,1.1192765658496964,-0.03212408685205631
7,12,60,0.01,0.2,3019.965391560398,1.123039540177868,-0.03559405715324219
7,13,60,0.01,0.2,2005.2861705258458,0.8821568105429662,0.18653233675916286
8,9,60,0.01,0.2,2934.4095017360414,1.084439923559427,7.985448897577036e-15
8,10,60,0.01,0.2,2946.457823121634,1.0897138833161122,-0.0048633028368836005
8,11,60,0.01,0.2,2988.9653173773527,1.1081727424660952,-0.021884862767465898
8,12,60,0.01,0.2,2998.317229453741,1.11194385964897,-0.025362341879906578
8,13,60,0.01,0.2,2005.2861705258465,0.8821568105429666,0.18653233675916256
9,10,60,0.01,0.2,2934.369039177673,1.0844399235594393,-3.2760815990059634e-15
9,11,60,0.01,0.2,2977.27252996823,1.1028987827079615,-0.01702155992923849
9,12,60,0.01,0.2,2987.5597877281994,1.1066737674231488,-0.020502605428556493
9,13,60,0.01,0.2,2005.2861705258006,0.8821568105429245,0.18653233675920136
10,11,60,0.01,0.2,2934.7840407596327,1.0844399235594357,0.0
10,12,60,0.01,0.2,2948.192147603746,1.088228444627637,-0.0034935278440931684
10,13,60,0.01,0.2,2005.2856761564303,0.8822858989593299,0.1864132998134002
11,12,60,0.01,0.2,3095.9981638028125,1.1155506330169611,-0.028688273809960165
11,13,60,0.01,0.2,2943.4852029538815,1.0844399235594357,0.0
12,13,60,0.01,0.2,2943.4852029538815,1.0844399235594357,0.0
