i,j,delta,beta,priority,integral,max_delta,pi,L_x,v_x,w_x,q_max_x,rho_max_x,L_y,v_y,w_y,q_max_y,rho_max_y
1,2,60,0.01,0.05,505.277,0.207628,-1.37422e-13,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,60,0.02,0.05,505.054,0.207628,-9.33561e-12,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,60,0.03,0.05,504.843,0.207628,-1.13105e-10,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,60,0.04,0.05,504.641,0.207628,-6.76273e-10,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,60,0.05,0.05,504.413,0.207628,0,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,60,0.06,0.05,446.114,0.186608,0.101243,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,60,0.07,0.05,389.306,0.165632,0.202269,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,60,0.08,0.05,334.767,0.144686,0.30315,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,60,0.09,0.05,282.408,0.123847,0.403516,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,60,0.1,0.05,231.75,0.102977,0.504033,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,60,0.11,0.05,182.917,0.0819022,0.605535,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,60,0.12,0.05,136.043,0.0661583,0.681362,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,60,0.13,0.05,90.6722,0.0674227,0.675272,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,60,0.14,0.05,46.1141,0.0677219,0.673831,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,60,0.15,0.05,10.3953,0.067142,0.676624,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,60,0.16,0.05,10.382,0.0660823,0.681728,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,60,0.17,0.05,10.3595,0.0650194,0.686847,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,60,0.18,0.05,10.3275,0.0627762,0.697651,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,60,0.19,0.05,10.3136,0.0631952,0.695633,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,60,0.2,0.05,10.3009,0.0620524,0.701137,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,120,0.01,0.05,504.895,0.207628,1.33201e-07,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,120,0.02,0.05,504.298,0.207628,1.09857e-06,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,120,0.03,0.05,503.716,0.207628,3.82351e-06,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,120,0.04,0.05,503.154,0.207626,9.34932e-06,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,120,0.05,0.05,502.5,0.207628,0,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,120,0.06,0.05,445.773,0.186608,0.101243,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,120,0.07,0.05,389.186,0.165632,0.202269,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,120,0.08,0.05,334.638,0.144686,0.30315,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,120,0.09,0.05,282.269,0.123847,0.403516,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,120,0.1,0.05,231.602,0.102977,0.504033,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,120,0.11,0.05,182.758,0.0819022,0.605535,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,120,0.12,0.05,135.885,0.0655999,0.684051,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,120,0.13,0.05,90.5023,0.0674928,0.674935,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,120,0.14,0.05,45.925,0.0681544,0.671748,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,120,0.15,0.05,10.2055,0.066229,0.681022,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,120,0.16,0.05,10.1698,0.0657706,0.683229,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,120,0.17,0.05,10.1514,0.0641515,0.691028,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,120,0.18,0.05,10.1195,0.0647937,0.687934,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,120,0.19,0.05,10.0936,0.0631767,0.695722,0.61,103,40,1933,67,0.23,103,37,1976,73
