i,j,delta,beta,priority,integral,max_delta,pi
1,2,60,0.01,0.05,2940.117830160883,1.0845155117234158,-6.970249097076035e-05
1,2,60,0.02,0.05,2936.7882348222615,1.0857752021999667,-0.0012313071582134496
1,2,60,0.03,0.05,2933.537890834992,1.0870632005487935,-0.0024190155050245726
1,2,60,0.04,0.05,2930.33442787912,1.0883803228906428,-0.0036335801049022366
1,2,60,0.05,0.05,2935.017747752749,1.0844399235594357,-2.0475509993787276e-16
1,2,60,0.06,0.05,3026.1620951901,1.0591747378773624,0.023297911791319643
1,2,60,0.07,0.05,3084.1346213355046,1.033840680960518,0.04665933215814904
1,2,60,0.08,0.05,3117.4629703840033,1.0086516571280317,0.06988701244292582
1,2,60,0.09,0.05,3101.2116088577704,0.9834992235057257,0.09308095161453865
1,2,60,0.1,0.05,3020.307438673189,0.9407586254740125,0.13249355262928794
1,2,60,0.11,0.05,2991.420000573102,0.9407774662386204,0.13247617890097108
1,2,60,0.12,0.05,2958.88437744103,0.9407586254740125,0.13249355262928794
1,2,60,0.13,0.05,2924.468733218196,0.9407994242188267,0.13245593067907396
1,2,60,0.14,0.05,2893.81300522248,0.9407586254740123,0.13249355262928805
1,2,60,0.15,0.05,2866.8951751859554,0.9407586254740122,0.13249355262928816
1,2,60,0.16,0.05,2842.6038096040484,0.9408928249079763,0.13236980263535247
1,2,60,0.17,0.05,2820.3723087318867,0.9410998809104077,0.13217886905025186
1,2,60,0.18,0.05,2799.9406444954693,0.941122554733454,0.13215796072462346
1,2,60,0.19,0.05,2780.9136979046257,0.9410700367125333,0.13220638942941357
1,2,60,0.2,0.05,2763.044873945465,0.9410284239070573,0.1322447620534492
1,2,120,0.01,0.05,2936.7302241440525,1.0845369731057564,-8.949278259905245e-05
1,2,120,0.02,0.05,2929.5980611559744,1.0857976551542727,-0.0012520118130479306
1,2,120,0.03,0.05,2922.050379129118,1.0870856104136746,-0.0024396804255925617
1,2,120,0.04,0.05,2913.92056248313,1.0884017446321175,-0.0036533338423009563
1,2,120,0.05,0.05,2911.935519502231,1.0844399235594357,-2.0475509993787276e-16
1,2,120,0.06,0.05,2973.0318217019258,1.0591747378773624,0.023297911791319643
1,2,120,0.07,0.05,3006.9987586330217,1.0338406809605178,0.04665933215814925
1,2,120,0.08,0.05,3018.602563651718,1.008651657128032,0.06988701244292561
1,2,120,0.09,0.05,2985.646623266295,0.9834992235057257,0.09308095161453865
1,2,120,0.1,0.05,2886.5811584549765,0.9407586254740125,0.13249355262928794
1,2,120,0.11,0.05,2837.33941451427,0.9407586254740123,0.13249355262928805
1,2,120,0.12,0.05,2783.9939484381093,0.9407586254740123,0.13249355262928805
1,2,120,0.13,0.05,2728.848902124704,0.9407586254740125,0.13249355262928794
1,2,120,0.14,0.05,2678.8796840409614,0.9407586254740125,0.13249355262928794
