i,j,delta,beta,priority,integral,max_delta,pi
1,2,60,0.01,0.05,505.277077259497,0.20762840985493014,-1.3742209822252287e-13
1,2,60,0.02,0.05,505.0538731737713,0.20762840985683995,-9.33561250142812e-12
1,2,60,0.03,0.05,504.8432206972518,0.2076284098783854,-1.1310493711224615e-10
1,2,60,0.04,0.05,504.64134193657634,0.2076284099953151,-6.762729941038613e-10
1,2,60,0.05,0.05,504.41335186604243,0.2076284098549016,0.0
1,2,60,0.06,0.05,446.11364969558906,0.18660751140463983,0.10124288128465637
1,2,60,0.07,0.05,389.30608965398073,0.16563161848236763,0.20226900259883937
1,2,60,0.08,0.05,334.76659648156846,0.14468581684026494,0.3031501953832969
1,2,60,0.09,0.05,282.40758885244355,0.12384708746722298,0.40351569636461654
1,2,60,0.1,0.05,231.74989884337162,0.10297686430951956,0.5040328807532476
1,2,60,0.11,0.05,182.91654429782923,0.08190218680329786,0.605534777921123
1,2,60,0.12,0.05,136.04326978984915,0.06615831251348298,0.6813619457967393
1,2,60,0.13,0.05,90.67217013541416,0.06742268102309633,0.6752723720698252
1,2,60,0.14,0.05,46.11411464297417,0.06772193395851851,0.6738310811808216
1,2,60,0.15,0.05,10.395276165644473,0.06714196056411396,0.6766244050559591
1,2,60,0.16,0.05,10.382035756159821,0.06608234752567319,0.6817278157076193
1,2,60,0.17,0.05,10.35953889013435,0.06501943347412534,0.686847125017413
1,2,60,0.18,0.05,10.327459111572658,0.06277622514442023,0.6976510816208121
1,2,60,0.19,0.05,10.313551068571606,0.06319523742764134,0.6956329941947517
1,2,60,0.2,0.05,10.300936666053355,0.062052435123500824,0.7011370690221759
1,2,120,0.01,0.05,504.8947072666009,0.2076283821985262,1.3320130627282225e-07
1,2,120,0.02,0.05,504.298312715433,0.20762818176157607,1.0985651033601433e-06
1,2,120,0.03,0.05,503.7164787244564,0.20762761598506368,3.823512584225012e-06
1,2,120,0.04,0.05,503.154035906886,0.20762646867020218,9.34932122624401e-06
1,2,120,0.05,0.05,502.5000095950198,0.2076284098549016,0.0
1,2,120,0.06,0.05,445.772709649475,0.18660751140463983,0.10124288128465637
1,2,120,0.07,0.05,389.1864532257509,0.16563161848236763,0.20226900259883937
1,2,120,0.08,0.05,334.6379945087237,0.14468581684026494,0.3031501953832969
1,2,120,0.09,0.05,282.26850535631667,0.12384708746722298,0.40351569636461654
1,2,120,0.1,0.05,231.60162060420666,0.10297686430951956,0.5040328807532476
1,2,120,0.11,0.05,182.75806165553635,0.08190218680329786,0.605534777921123
1,2,120,0.12,0.05,135.8846699542276,0.06559988562097346,0.6840514953285194
1,2,120,0.13,0.05,90.50232226537659,0.06749282715443514,0.6749345274974575
1,2,120,0.14,0.05,45.9249858701662,0.06815438313730443,0.6717482776806255
1,2,120,0.15,0.05,10.205486899086619,0.06622899743190472,0.6810215062659875
1,2,120,0.16,0.05,10.169804053941924,0.0657706006017283,0.6832292813507977
1,2,120,0.17,0.05,10.151364720420581,0.06415146781511259,0.6910275050512402
1,2,120,0.18,0.05,10.119518821862112,0.06479369457605225,0.6879343504998546
1,2,120,0.19,0.05,10.093648017401632,0.06317672231799445,0.6957221684539959
1,2,120,0.2,0.05,10.07399862983929,0.06399215805910968,0.6917947880840114
1,2,180,0.01,0.05,504.34940450650294,0.20763114783842773,-1.3186940689078696e-05
1,2,180,0.02,0.05,503.21293450812624,0.20763958646770173,-5.382988198931189e-05
1,2,180,0.03,0.05,502.1061032820318,0.2076540785253443,-0.00012362792962975673
1,2,180,0.04,0.05,501.0244892938612,0.2076749989945157,-0.00022438711372226012
1,2,180,0.05,0.05,499.74125305622397,0.2076284098549016,0.0
1,2,180,0.06,0.05,444.7348082764769,0.18660751140463983,0.10124288128465637
1,2,180,0.07,0.05,388.9869204196738,0.16563161848236763,0.20226900259883937
1,2,180,0.08,0.05,334.54537193458475,0.14468581684026494,0.3031501953832969
1,2,180,0.09,0.05,282.17216414364333,0.12384708746722298,0.40351569636461654
1,2,180,0.1,0.05,231.49839145384917,0.10297686430951956,0.5040328807532476
1,2,180,0.11,0.05,182.65126322885038,0.08190218680329786,0.605534777921123
1,2,180,0.12,0.05,135.76871385343637,0.06490607628230777,0.6873930868725213
1,2,180,0.13,0.05,90.38295557753266,0.06714769560669465,0.6765967833899998
1,2,180,0.14,0.05,45.79177232144119,0.06606740554184569,0.6817997807332048
1,2,180,0.15,0.05,10.063961623821484,0.06617716207815093,0.6812711607029213
1,2,180,0.16,0.05,10.02252775530899,0.06448675586672814,0.6894126583554059
1,2,180,0.17,0.05,9.999921720229125,0.06511301704594594,0.6863963987806422
1,2,180,0.18,0.05,9.955319220943021,0.06407460751792893,0.6913976870375946
1,2,180,0.19,0.05,9.927517082121922,0.0652752575674819,0.6856150003118616
1,2,180,0.2,0.05,9.89144821479806,0.061535596676273625,0.7036263162672345
1,2,240,0.01,0.05,503.7317559043054,0.2076284098549007,4.411409767843633e-15
1,2,240,0.02,0.05,501.9917432103549,0.20762840985481446,4.197523233645154e-13
1,2,240,0.03,0.05,500.29213888781584,0.20762840985330283,7.700182589312998e-12
1,2,240,0.04,0.05,498.6258771413906,0.2077803506703894,-0.0007317920297804491
1,2,240,0.05,0.05,496.62971636684074,0.20762840985490122,1.8715071742366927e-15
1,2,240,0.06,0.05,443.13257363909185,0.18660751140463983,0.10124288128465637
1,2,240,0.07,0.05,388.168104676186,0.16563161848236763,0.20226900259883937
1,2,240,0.08,0.05,334.4179198565057,0.14468581684026494,0.3031501953832969
1,2,240,0.09,0.05,282.1226622329888,0.12384708746722298,0.40351569636461654
1,2,240,0.1,0.05,231.447353503452,0.10297686430951956,0.5040328807532476
1,2,240,0.11,0.05,182.60507876802,0.08190218680329786,0.605534777921123
1,2,240,0.12,0.05,135.7102837563676,0.06366182946236944,0.6933857485742984
1,2,240,0.13,0.05,90.32791880879714,0.06623893312005119,0.6809736530451618
1,2,240,0.14,0.05,45.7466465683367,0.06644790471025006,0.6799671838902668
1,2,240,0.15,0.05,10.009166483104888,0.06489727245179631,0.6874354887312919
1,2,240,0.16,0.05,9.973798551269848,0.06548257479429027,0.6846164990617041
1,2,240,0.17,0.05,9.928850136945655,0.06431561104788067,0.6902369425608625
1,2,240,0.18,0.05,9.881093018916335,0.06531755129644225,0.6854113011697747
