i;j;delta;beta;priority;L_x;v_x;w_x;q_max_x;rho_max_x;L_y;v_y;w_y;q_max_y;rho_max_y;integ_pred;pi_pred
1;2;60;0,01;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5720,14;-3,26913
1;2;60;0,02;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5423,08;-3,10391
1;2;60;0,03;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5126,01;-2,93868
1;2;60;0,04;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4828,94;-2,77346
1;2;60;0,05;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4531,88;-2,60824
1;2;60;0,06;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4234,81;-2,44302
1;2;60;0,07;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3937,75;-2,27779
1;2;60;0,08;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3929,88;-2,21326
1;2;60;0,09;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4036,54;-2,18567
1;2;60;0,1;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4143,2;-2,15808
1;2;60;0,11;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4249,86;-2,1305
1;2;60;0,12;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4343,8;-2,10134
1;2;60;0,13;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4430,64;-2,0713
1;2;60;0,14;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4517,48;-2,04126
1;2;60;0,15;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4599,74;-1,97329
1;2;60;0,16;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4671,71;-1,82005
1;2;60;0,17;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4471,24;-1,54806
1;2;60;0,18;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3805,78;-1,10115
1;2;60;0,19;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3217,19;-0,896061
1;2;60;0,2;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;2729,21;-0,215369
1;2;120;0,01;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5706,71;-3,27236
1;2;120;0,02;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5409,64;-3,10714
1;2;120;0,03;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5112,57;-2,94192
1;2;120;0,04;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4815,51;-2,77669
1;2;120;0,05;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4518,44;-2,61147
1;2;120;0,06;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4221,38;-2,44625
1;2;120;0,07;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3924,31;-2,28103
1;2;120;0,08;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3850,86;-2,19298
1;2;120;0,09;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3957,52;-2,16539
1;2;120;0,1;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4064,18;-2,1378
1;2;120;0,11;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4170,84;-2,11022
1;2;120;0,12;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4263,22;-2,08086
1;2;120;0,13;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4350,06;-2,05083
1;2;120;0,14;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4436,9;-2,02079
1;2;120;0,15;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4519,57;-1,95621
1;2;120;0,16;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4591,54;-1,80298
1;2;120;0,17;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4412,53;-1,54034
1;2;120;0,18;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3746,98;-1,093
1;2;120;0,19;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3161,4;-0,890006
1;2;120;0,2;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;2679,57;-0,162952
1;2;180;0,01;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5693,27;-3,27559
1;2;180;0,02;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5396,2;-3,11037
1;2;180;0,03;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5099,14;-2,94515
1;2;180;0,04;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4802,07;-2,77993
1;2;180;0,05;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4505,01;-2,6147
1;2;180;0,06;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4207,94;-2,44948
1;2;180;0,07;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3910,87;-2,28426
1;2;180;0,08;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3771,83;-2,17269
1;2;180;0,09;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3878,49;-2,14511
1;2;180;0,1;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3985,15;-2,11752
1;2;180;0,11;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4091,81;-2,08993
1;2;180;0,12;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4182,65;-2,06039
1;2;180;0,13;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4269,48;-2,03035
1;2;180;0,14;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4356,32;-2,00031
1;2;180;0,15;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4439,4;-1,93914
1;2;180;0,16;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4511,37;-1,7859
1;2;180;0,17;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4353,83;-1,53262
1;2;180;0,18;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3688,18;-1,08486
1;2;180;0,19;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3105,61;-0,883951
1;2;180;0,2;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;2629,93;-0,110536
1;2;240;0,01;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5679,83;-3,27883
1;2;240;0,02;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5382,77;-3,1136
1;2;240;0,03;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5085,7;-2,94838
1;2;240;0,04;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4788,64;-2,78316
1;2;240;0,05;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4491,57;-2,61794
1;2;240;0,06;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4194,5;-2,45271
1;2;240;0,07;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3897,44;-2,28749
1;2;240;0,08;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3692,81;-2,15241
1;2;240;0,09;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3799,47;-2,12482
1;2;240;0,1;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3906,13;-2,09724
1;2;240;0,11;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4012,79;-2,06965
1;2;240;0,12;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4102,07;-2,03991
1;2;240;0,13;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4188,91;-2,00988
1;2;240;0,14;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4275,74;-1,97984
1;2;240;0,15;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4359,23;-1,92206
1;2;240;0,16;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4431,2;-1,76883
1;2;240;0,17;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4295,12;-1,5249
1;2;240;0,18;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3629,37;-1,07671
1;2;240;0,19;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3049,81;-0,877896
