rho0;rho1;rho2;rho3;rho4;rho5;rho6;rho7;rho8;rho9;rho10;rho11;rho12
1.543351548269581;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.3621347473963255;1.9198696796107104;0.0;0.0;1.9198696796107104;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.7961972292641692;2.470030331566246;1.6155766094763329;0.0;2.470030331566246;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.0259407874872593;2.8757693468184935;2.3346022089474197;0.855989664485917;2.8757693468184935;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.147198068401705;3.062576815283262;2.7899961239859867;1.6394109200390792;3.062576815283262;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.210807353258829;3.167842383776011;3.019373666499217;2.2490316813895497;3.167842383776011;0.7794320807868732;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.243807547313203;3.221289145330724;3.1443105772795255;2.6571861282326346;3.221289145330724;1.5633020072380164;0.37797318418572473;0.0;0.0;0.0;0.0;0.0;0.0
3.26050983614171;3.2493011671205227;3.2090882938585565;2.9152819011329933;3.2493011671205227;2.1885117659366466;0.9509999995821479;0.1819870886820156;0.0;0.0;0.0;0.0;0.0
3.2686495760205982;3.2632443181976036;3.2429275581231196;3.070950926085324;3.2632443181976036;2.6159151423813993;1.5466342365639332;0.5589928268443761;0.11836558613464428;0.0;0.0;0.0;0.0
3.272242898743177;3.269968250030556;3.260024178120439;3.1620702321547323;3.269968250030556;2.8889489556931767;2.0578832905311417;1.0552273139998805;0.4049524093604861;0.14677332680695887;0.0;0.0;0.0
3.2734222312998837;3.2727978251199277;3.268392147129769;3.213969699410225;3.2727978251199277;3.0549552719535757;2.4512066437381024;1.5770700921075202;0.8278954367682221;0.43894691634289545;0.059990685163161764;0.0;0.0
3.273365355963417;3.2735745622761536;3.2720995395561276;3.2428046382739755;3.2735745622761536;3.1526616851855143;2.7324444123937317;2.0563606574151163;1.3151635052815867;0.837599308167182;0.214881525685037;0.03238490865726237;0.0
3.272652097018827;3.2733143177083774;3.273340775995365;3.258326113747544;3.2733143177083774;3.2085874315674054;2.923357475883185;2.4580439711979722;1.7972429538237198;1.2701697110882977;0.4694050637630565;0.1307327422275114;0.0
3.271590321094696;3.272490540763647;3.2733185112604004;3.2662814131895477;3.272490540763647;3.2398021293056707;3.047911750645857;2.7731224723870738;2.2270322334167294;1.6817026371339512;0.7967017251698019;0.3128738133802034;0.0
3.270343494716036;3.2713707022865703;3.2726217713815964;3.2700099167970467;3.2713707022865703;3.2567016314878456;3.126616069154873;3.0081366608963798;2.5822128766494736;2.037453556226293;1.1584282883932437;0.5724199407436648;0.0
3.2689528756096986;3.2700928957676685;3.2715689926496707;3.271393769791947;3.2700928957676685;3.2654420850507577;3.1749785778702275;3.1765947708318163;2.8592364761596563;2.324707019225693;1.5177124256424663;0.8857660616407452;0.0
3.2674859075413973;3.268674754749904;3.2703268522996196;3.2714866090632717;3.268674754749904;3.2696104135482376;3.2038993060327714;3.2934682620292666;3.065648375133419;2.544537708271356;1.8475554539721186;1.2222687316121106;0.0
3.265932863475988;3.2671958747683076;3.2689366068125225;3.2708721288849993;3.2671958747683076;3.2712385783356406;3.220680590251511;3.3723227744024085;3.21382391132584;2.705839138548605;2.13243312140395;1.553412671190039;0.0
3.2643341160350645;3.265624737532693;3.2674717751086484;3.269846620791043;3.265624737532693;3.271466108332403;3.230034602409768;3.424210714418732;3.3169126027577542;2.8201275765022817;2.366801453808313;1.8578450281126948;0.0
3.2627111016834633;3.2640192542687347;3.2659174869524112;3.268588343500474;3.2640192542687347;3.2709254880533254;3.2349188326716405;3.4575411313928877;3.386699992455951;2.898750031981133;2.5520895118935463;2.1228590051490466;0.0
3.26107520244213;3.262391963009279;3.2643201179457226;3.267173229177169;3.262391963009279;3.269942553323575;3.23714937255696;3.478409696134246;3.43277552997591;2.9514350602090578;2.693780121294425;2.3434453950313023;0.0
3.2594779991108944;3.260753963753043;3.262697569265545;3.265661549872442;3.260753963753043;3.2687084449051484;3.237811087464702;3.4910773068612655;3.4624562884528762;2.9858848951356736;2.7990914653746124;2.520285182295822;0.0
3.257855804628098;3.259166713050853;3.2610620188751223;3.264091128048829;3.259166713050853;3.267309259740262;3.237550337600772;3.4984334718503742;3.4810715849786575;3.007856467831485;2.8754395735706018;2.657584773358818;0.0
3.256265878049345;3.2575359936360737;3.2594671128301895;3.2624861988055582;3.2575359936360737;3.265807471043537;3.236738749289881;3.502394683946876;3.492363869122863;3.0214794528349795;2.9295623517804072;2.761261186610678;0.0
3.254647547270281;3.255956018932776;3.2578420697174937;3.2608865802074978;3.255956018932776;3.2642430815669954;3.2355962803225395;3.5042045925915404;3.4988879763254728;3.0296164332972895;2.9671316430844588;2.837643570394071;0.0
3.2530596721844933;3.2543283307535855;3.256254951818589;3.2592734908017857;3.2543283307535855;3.262641713408841;3.2342545865742176;3.5046600197431896;3.502345938124541;3.0342029040850313;2.99267106130637;2.8926730668129172;0.0
3.251396893336575;3.2527501685239177;3.2546336938962415;3.2576741620195366;3.2527501685239177;3.2610419001213;3.2327932846786993;3.504267034133803;3.5038510318602474;3.036516046237821;3.009646377997648;2.9314944523790216;0.0
3.2497398805238826;3.2510667464913534;3.2530487011401195;3.25606321440277;3.2510667464913534;3.2594299997053104;3.23127169384023;3.503345118993709;3.5041216024446733;3.0373864262654227;3.0206288217624806;2.9583191582822685;0.0
3.2480403919357226;3.249416176507664;3.2513808798262067;3.2544660185897403;3.249416176507664;3.2578295340568033;3.229713472607947;3.502100326104764;3.5036165725578674;3.0373471868337822;3.0274781601109053;2.9764511089121406;0.0
3.246318350180807;3.2477047536705874;3.249727575563054;3.252831402886839;3.2477047536705874;3.256219535737679;3.228142101876423;3.5006585198323985;3.5026303960030036;3.036737844529433;3.031511928969859;2.9883973099842613;0.0
3.2445387961342536;3.2459801213101116;3.2480253643300143;3.251186885323311;3.2459801213101116;3.2546211850494795;3.2265593974782725;3.499100930439981;3.5013478749164313;3.0357773413157734;3.033647918266034;2.996009513577198;0.0
3.242774242391867;3.2441871684947325;3.2463042856449653;3.249511799611842;3.2441871684947325;3.25298982483565;3.2249765571880467;3.49747356014138;3.499886447614675;3.034600565163194;3.0345182776871575;3.000625583647287;0.0
3.2411087279730952;3.242429543028607;3.244522724644361;3.2478123451952357;3.242429543028607;3.251346449921189;3.2233776401000767;3.495807357243159;3.498317089908467;3.0332950628191546;3.0345519110602996;3.0031954049390026;0.0
3.2394958000075724;3.240786500145543;3.2427613054742417;3.246069387804597;3.240786500145543;3.249674187928626;3.2217646917548532;3.494111839998088;3.496684743459486;3.031911150550474;3.034038199279197;3.004382641446102;0.0
3.2379563309694124;3.239180919056038;3.2410995003365297;3.2443166487098103;3.239180919056038;3.247977135683253;3.220130574118995;3.4923932812142375;3.4950113103138616;3.0304828920694202;3.0331688103146788;3.0046454287383595;0.0
3.236501403420007;3.237657578803352;3.2394850079191224;3.2426120896437203;3.237657578803352;3.246238258316623;3.218473630931611;3.490651728954093;3.4933085271596345;3.029022779592632;3.032070994523958;3.00429565344288;0.0
3.2351369018159053;3.2362193413095777;3.2379472203462107;3.240955251075646;3.2362193413095777;3.244486715758862;3.2167847561186385;3.4888864124600865;3.491580528326762;3.027539988020008;3.0308250971512334;3.0035438949413504;0.0
3.2337748759186455;3.234872828412859;3.2364932044902206;3.2393614899381364;3.234872828412859;3.2427779415182854;3.215073442968094;3.4870925191275406;3.4898282578443713;3.0260356936165698;3.0294823739745818;3.0025293243578943;0.0
3.2324141645360385;3.233507017943004;3.2351296527257745;3.2378417707964937;3.233507017943004;3.2411165021491124;3.213371418051435;3.4852719461295676;3.488048915589522;3.024510560530998;3.0280736117647593;3.0013429238660754;0.0
3.2310086137745997;3.232147550540619;3.233764200253345;3.2364047946582013;3.232147550540619;3.239516736954224;3.211697087750161;3.4834410232078583;3.4862427565911775;3.0229608306579387;3.0266172852684203;3.000042703371832;0.0
3.2295337175142;3.2307307572205706;3.2324037842369173;3.235005714289373;3.2307307572205706;3.237989922426052;3.2100667995216687;3.481617684772962;3.4844204909760106;3.0213884383064475;3.0251227819950888;2.998665026390578;0.0
3.2280220011937875;3.2292416860882494;3.230995926535253;3.2336271196628146;3.2292416860882494;3.2365449867519795;3.2084943647741633;3.479819765384301;3.482597527591914;3.0198058312060883;3.0235964431064777;2.9972315033343624;0.0
3.2264451973551713;3.227724445217119;3.229519727466288;3.232233020423417;3.227724445217119;3.2351418898111652;3.2069911618501563;3.478063823067727;3.480790852985336;3.01822675688913;3.022047105702747;2.995755388518815;0.0
3.2247882969563433;3.2261331103163866;3.228008991586677;3.230795421788724;3.2261331103163866;3.233761146994128;3.2055435809562476;3.476364535187701;3.4790171749901435;3.0166663595967744;3.0204856139257528;2.9942474822369816;0.0
3.2230888680560548;3.2244602144699557;3.226430431367397;3.2293190724532774;3.2244602144699557;3.232368265420278;3.2041352274767063;3.4747235029721013;3.477291880809693;3.015138836605834;3.0189245694976385;2.9927185518476023;0.0
3.2213668579933334;3.222754312529958;3.2247724874095827;3.227788568174236;3.222754312529958;3.2309346536241375;3.2027410075177194;3.4731337222881;3.475621391159227;3.0136571553320626;3.017377226291861;2.9911802985253075;0.0
3.219632858114857;3.2210283727078286;3.2230741866530357;3.22619054184317;3.2210283727078286;3.2294620845378;3.2013342492382626;3.471579219705624;3.4740033951454854;3.01222369426947;3.015856721097975;2.9896452003147713;0.0
3.2178469547185444;3.2192924064871034;3.2213526275324775;3.224539386572677;3.2192924064871034;3.2279367215802575;3.1999022002110222;3.470038279099325;3.4724266956724046;3.0108345638366023;3.0143717934656893;2.9881260254738655;0.0
3.216033492350557;3.2174943203498865;3.2196189447900467;3.2228509288507605;3.2174943203498865;3.2263451395239966;3.1984316423052794;3.468492695897525;3.470873253998857;3.009477554315244;3.0129260210379276;2.986633300514138;0.0
3.2142053971223814;3.2156771067758414;3.2178310663804353;3.221138509312419;3.2156771067758414;3.224699243903648;3.196909319194275;3.4669259921641298;3.469324923526446;3.008135554628409;3.011516528686989;2.9851737455531118;0.0
3.212369532351866;3.2138463568446043;3.2160185023340864;3.219386108993518;3.2138463568446043;3.223014536703317;3.1953342388076043;3.4653226308143528;3.4677646429655895;3.0067934302633392;3.0101346226233634;2.983748865664413;0.0
3.2105295422232585;3.2120092442509804;3.214190634806173;3.217601831802564;3.2120092442509804;3.2213045555801965;3.1937134122748865;3.4636735024708942;3.4661763423794194;3.005436541469505;3.0087689765397028;2.982354652357848;0.0
3.2086873616722764;3.2101685521150465;3.2123549875252513;3.2157944589083858;3.2101685521150465;3.219555923010846;3.1920569826523444;3.4619769220976644;3.4645484790242813;3.00405126475111;3.007406909824503;2.980983167758127;0.0
3.2068440180828204;3.208326008448316;3.21051509498235;3.2139721052434536;3.208326008448316;3.217774793844282;3.1903636393108816;3.4602368372572387;3.4628759216736364;3.0026291527778253;3.006035356481013;2.97962395531095;0.0
3.2050455943008056;3.2064824697086296;3.2086729715100826;3.212140458860256;3.2064824697086296;3.2159697345422726;3.1886356980567827;3.4584548099962977;3.461159444004435;3.0011674798737453;3.004643138300742;2.97826520460448;0.0
3.20322548404132;3.204695052232714;3.206829657085657;3.2103032613444746;3.204695052232714;3.2141489029130645;3.1868784949491964;3.456632823136394;3.4594003324544267;2.9996683789531926;3.003222531880184;2.9768955084100908;0.0
3.201393859012832;3.202866966197526;3.205033380126072;3.2084628228740106;3.202866966197526;3.212318207475656;3.1850987092869048;3.454774547458721;3.457600326393918;2.9981325268608643;3.0017698423901833;2.9755055079332013;0.0
3.1996016573811303;3.2010344777914446;3.2032103357254167;3.206645782734928;3.2010344777914446;3.210481581296467;3.183302615144506;3.452885238244836;3.455762421395416;2.9965617889966967;3.000283161836533;2.974088951020916;0.0
3.197784850868123;3.1992521045757156;3.2013793441633323;3.204825561325568;3.1992521045757156;3.2086414776591066;3.181495321822978;3.450970835946338;3.4538910827608924;2.9949590767122936;2.9987621245250127;2.972641963405547;0.0
3.1959549800146774;3.197426897668928;3.1995892650985893;3.202999633508128;3.197426897668928;3.2068223711846278;3.179680626574853;3.4490371008479177;3.451991735239231;2.9933286734834916;2.9972077041888614;2.9711625851660264;0.0
3.1941181724485945;3.1955958889927465;3.197769625839969;3.201192699628588;3.1955958889927465;3.2050022711904025;3.1778723359356436;3.447089061414513;3.450070021813987;2.991675461724587;2.9956222273529365;2.9696504503347163;0.0
3.19227768172817;3.193757666721639;3.1959404191793164;3.1993790339895565;3.193757666721639;3.203176863572269;3.1760668321470584;3.445136158828928;3.448131185781809;2.990004336584591;2.9940090652111904;2.9681066483564247;0.0
3.1903896980396382;3.191916622587252;3.194103625853003;3.1975571341672584;3.191916622587252;3.2013682719627448;3.1742601768017176;3.4431818963090994;3.446183200771805;2.988319692117744;2.992372211843969;2.9665334947279365;0.0
3.188476497228697;3.190017187461597;3.192263255457804;3.195727343239438;3.190017187461597;3.1995550775096717;3.172461088406162;3.4412263238169936;3.4442311328285817;2.9866295237396763;2.9907158248130123;2.964934198963908;0.0
3.1865499069984793;3.1881006283554534;3.1903731818989045;3.1938919469353833;3.1881006283554534;3.1977339515174106;3.1706636297868367;3.4392736669087043;3.4422767855039718;2.9849366708750806;2.9890456303266886;2.9633124655440644;0.0
3.1845706701093928;3.1861715909186374;3.1884608206654446;3.1920275806866316;3.1861715909186374;3.195904927363519;3.168863156662836;3.4373234144762757;3.4403235376371315;2.9832421473981543;2.987366174677817;2.961673070927011;0.0
3.1825634796664626;3.1841801073032725;3.186534426352364;3.1901377849963932;3.1841801073032725;3.1940700928068697;3.167057314975018;3.4353730464355925;3.4383722380203148;2.981549706540283;2.985680560353193;2.960020642286581;0.0
3.1805414468538684;3.182169085001444;3.1845532591787005;3.1882285980605136;3.182169085001444;3.1922083617947314;3.165245915736344;3.4334200293040413;3.436421544306674;2.9798587848292355;2.983992155818551;2.9583589594698854;0.0
3.178511533256653;3.18014436604975;3.1825469688171206;3.1862812734472072;3.18014436604975;3.1903210483450337;3.1634186371500803;3.431462864597522;3.4344693394269132;2.978167960361021;2.9823027224379977;2.9566915604365662;0.0
3.1765229725761643;3.178113185159786;3.1805251707367352;3.184302706693612;3.178113185159786;3.1884137912827963;3.1615708486186778;3.4294957500708843;3.432513908643569;2.976475220178377;2.9806127204779638;2.9550210055398725;0.0
3.174510831522681;3.1761350221632516;3.178495476991426;3.1823012344530857;3.1761350221632516;3.1864700296020545;3.1597029213389485;3.4275132327076325;3.430550878677595;2.97477930469678;2.9789215993237677;2.953348708019346;0.0
3.172486170107216;3.174114591777034;3.176509146539613;3.18028480946054;3.174114591777034;3.1844945380041976;3.157807013757785;3.425512461778549;3.428575173981684;2.973075333371327;2.9772285185833716;2.9516750135556986;0.0
3.170500398153467;3.1720888981539512;3.1744941208815605;3.1782843296207486;3.1720888981539512;3.1824953566184515;3.155881439292732;3.423488077982572;3.4265831660446855;2.9713591138690787;2.9755309865324167;2.949999625737536;0.0
3.168489737817369;3.1701128655446538;3.172470118096072;3.176276142891652;3.1701128655446538;3.1804804493705006;3.1539292361159728;3.4214362918720034;3.4245701006384324;2.9696279518684454;2.9738258163565288;2.948321064606169;0.0
3.16651139995221;3.168093757381486;3.1704864823706136;3.174259576256134;3.168093757381486;3.1784786629283985;3.151955816761455;3.4193564610217666;3.422531851034251;2.9678771121816307;2.972110022537987;2.9466369365436997;0.0
3.1645046868598707;3.166125365893377;3.1684729964728997;3.1722604575822215;3.166125365893377;3.176471062183864;3.149977932290804;3.4172508345639043;3.4204665567171877;2.9661035164264913;2.9703799044161427;2.944944540950764;0.0
3.16252844484454;3.1641093038106334;3.166497457668236;3.1702537266446695;3.1641093038106334;3.1744552914268973;3.1479949494597985;3.4151287273421858;3.4183750301134257;2.9643061829790187;2.968632015674341;2.943240651516714;0.0
3.1605683819165455;3.1621427763528116;3.1644878183926393;3.1682635224030404;3.1621427763528116;3.1724546749893876;3.146005402723223;3.4129950093744506;3.416263613676847;2.9624865418913484;2.9668639173901417;2.9415219400739407;0.0
3.1586169095239947;3.160184290520258;3.1625144578525886;3.166263020792591;3.160184290520258;3.170448506577725;3.1440198548922047;3.4108516805932836;3.4141376921793536;2.960651842089404;2.9650747520076983;2.9397855759413134;0.0
3.1566244610678402;3.1582345291360174;3.160553614427507;3.1642768994817874;3.1582345291360174;3.168456868803165;3.142033655592376;3.408704937870293;3.41200044887134;2.9588056396250164;2.963266975334745;2.938029808430288;0.0
3.154610255740028;3.156231666684058;3.158602096576008;3.1623041712894477;3.156231666684058;3.166457174967852;3.14005417021158;3.4065559848427887;3.4098570270820407;2.9569503506508017;2.9614434928819593;2.936255166830334;0.0
3.152584498266336;3.15421469413291;3.156607372075429;3.1603426810863393;3.15421469413291;3.164469831439254;3.138074204673371;3.404409036496014;3.4077100077394378;2.9550913126070797;2.959607010144621;2.9344634604177924;0.0
3.1505070696623623;3.15218679347763;3.154593925767591;3.1583635821762375;3.15218679347763;3.1624958088502506;3.1360999831677807;3.402262970673853;3.405563034572983;2.953229427779966;2.9577613083733243;2.9326569727943412;0.0
3.148356668135844;3.1500972819682995;3.1525683160791433;3.156366284799228;3.1500972819682995;3.160533211547408;3.1341351529518042;3.4001201607884792;3.4034166515491586;2.95136882590968;2.955908992099055;2.9308387840723333;0.0
3.14616752051293;3.147932025630825;3.1504889327995937;3.1543539865576196;3.147932025630825;3.1585556003066713;3.1321806561645884;3.397983681488913;3.4012725925178224;2.9495084034320667;2.9540532892518105;2.9290117014867985;0.0
3.144003337394388;3.1457370494575985;3.148337287061169;3.1523061442887066;3.1457370494575985;3.156560048093495;3.1302241523532417;3.3958556945360496;3.399133463393328;2.9476507854666267;2.952195657349296;2.9271787446645208;0.0
3.141852409563687;3.1435803786543293;3.1461491786202562;3.1502033032679435;3.1435803786543293;3.1545492290350463;3.1282579240523605;3.3937314592086256;3.3970015812097323;2.945798073087374;2.9503380311432843;2.9253420741292344;0.0
3.139708519832085;3.1414308518869842;3.1439875250541576;3.1480552845502907;3.1414308518869842;3.152504682253353;3.1262793293685767;3.3916046259559285;3.3948746725911265;2.9439522347874485;2.948482413366464;2.9235037172021796;0.0
3.1376139044281475;3.1392883373742473;3.14183607622884;3.145900041607381;3.1392883373742473;3.150407020070452;3.1242780676819635;3.3894703952270526;3.3927478129909976;2.942109604035068;2.946630792756787;2.9216656773055294;0.0
3.135545451986894;3.137205407501684;3.139692145656756;3.143746808922249;3.137205407501684;3.148263450227238;3.1222394802447333;3.3873211410470856;3.39061615916079;2.9402656530381823;2.94478284657291;2.919829939434324;0.0
3.133536428513988;3.1351404869941555;3.1375995473726683;3.14159850482582;3.1351404869941555;3.1461092038570446;3.1201595811296357;3.3851455688476966;3.3884730579486244;2.938416325634607;2.9429365333424458;2.9179972323894607;0.0
3.131513422425915;3.1331451002374258;3.1355302400280047;3.139479715640251;3.1331451002374258;3.1439558694774923;3.11805342086501;3.382935484718545;3.3863088373951755;2.936555118319172;2.9410889881285276;2.916166785669167;0.0
3.1294829920531044;3.1311153560999188;3.133523137099658;3.1373871436852028;3.1311153560999188;3.141807116427505;3.1159343002728286;3.3806935830379;3.38411478687379;2.9346728379825966;2.9392358588016876;2.914336702166258;0.0
3.1274030823014205;3.1290847583122154;3.131496981519812;3.1353398562453307;3.1290847583122154;3.1396856520828034;3.1138107869190566;3.378427764782047;3.3818896136471954;2.9327626415921033;2.9373708145780117;2.9125037694161686;0.0
3.125251363371337;3.126992818347096;3.1294670878075372;3.133303765212777;3.126992818347096;3.137590524264098;3.1116982649084486;3.3761465445066086;3.3796380046292125;2.9308258724592555;2.9354873153020256;2.910663108421691;0.0
3.1230615162527227;3.1248265156598594;3.1273849819707276;3.131270957739836;3.1248265156598594;3.13553898531564;3.109604123894905;3.3738620596818136;3.377367136256787;2.9288677639869336;2.9335820430289883;2.908808969010018;0.0
3.1208514243855534;3.1226309246099184;3.1252320242091307;3.129212030249002;3.1226309246099184;3.1335015577040095;3.1075405014958504;3.3715846113281844;3.375087411655178;2.9268949616862647;2.931655175007831;2.9069369441407513;0.0
3.1185850459169195;3.120417295103764;3.1230431903960683;3.1271032821928975;3.120417295103764;3.1314683515998025;3.1054992975784517;3.3693257662729192;3.37280916754006;2.9249175041708346;2.929709532261318;2.905045124618573;0.0
3.1162887812108964;3.118138047926892;3.1208334909262367;3.124952101868446;3.118138047926892;3.1294117289281664;3.103471582261223;3.3670880504671725;3.3705435406996433;2.9229438867872317;2.9277508858592554;2.9031341647788675;0.0
3.113976647947134;3.1158376316014382;3.118565266833651;3.122769916029724;3.1158376316014382;3.1273076186383184;3.101439395464773;3.3648685676445735;3.3682960673777114;2.920984261434166;2.9257861203655313;2.901207477706022;0.0
3.111656089028396;3.1135226398575573;3.116269952871903;3.12054214407913;3.1135226398575573;3.1251605990675793;3.099381898249191;3.3626570613226168;3.366066799258597;2.9190411220975405;2.9238234558023146;2.8992703326128533;0.0
3.1093310563784655;3.111200722763311;3.1139580799921838;3.1182785859806508;3.111200722763311;3.122981514070511;3.0972906754904566;3.360437799891805;3.363849083527878;2.9171134590664414;2.921868771788062;2.897329564037914;0.0
3.1070036483320993;3.1088749300382013;3.111637754873116;3.1159894290011647;3.1088749300382013;3.12075806342388;3.0951666910189646;3.358197991842704;3.361630362463765;2.915193457587628;2.9199251320645425;2.8953914552026276;0.0
3.1046749790324353;3.106547127915876;3.109312828745696;3.1136837580382584;3.106547127915876;3.118498046589245;3.0930044719355716;3.3559309948476703;3.3593979262874654;2.913268910771506;2.9179911540045342;2.8934605184184274;0.0
3.102391177391539;3.1042182470584554;3.1069854824591645;3.111367885007734;3.1042182470584554;3.11621145804482;3.090805007328193;3.353630483625092;3.3571430115298755;2.9113293142365024;2.9160610307783363;2.8915380600691116;0.0
3.1001311989246516;3.1019454430041993;3.104656844826215;3.109045933040128;3.1019454430041993;3.113907466307114;3.088573648648741;3.3512934203571443;3.354858440534894;2.909368324000774;2.9141270355251265;2.8896215397493057;0.0
