i,j,delta,beta,priority,integral,max_delta,pi
1,2,60,0.01,0.05,2940.1,1.0845,-6.9702e-05
1,2,60,0.02,0.05,2936.8,1.0858,-0.0012313
1,2,60,0.03,0.05,2933.5,1.0871,-0.002419
1,2,60,0.04,0.05,2930.3,1.0884,-0.0036336
1,2,60,0.05,0.05,2935,1.0844,-2.0476e-16
1,2,60,0.06,0.05,3026.2,1.0592,0.023298
1,2,60,0.07,0.05,3084.1,1.0338,0.046659
1,2,60,0.1,0.05,3020.3,0.94076,0.13249
1,2,60,0.11,0.05,2991.4,0.94078,0.13248
1,2,60,0.12,0.05,2958.9,0.94076,0.13249
1,2,60,0.13,0.05,2924.5,0.9408,0.13246
1,2,60,0.14,0.05,2893.8,0.94076,0.13249
1,2,60,0.16,0.05,2842.6,0.94089,0.13237
1,2,60,0.18,0.05,2799.9,0.94112,0.13216
1,2,60,0.19,0.05,2780.9,0.94107,0.13221
1,2,120,0.01,0.05,2936.7,1.0845,-8.9493e-05
1,2,120,0.02,0.05,2929.6,1.0858,-0.001252
1,2,120,0.03,0.05,2922.1,1.0871,-0.0024397
1,2,120,0.04,0.05,2913.9,1.0884,-0.0036533
1,2,120,0.06,0.05,2973,1.0592,0.023298
1,2,120,0.07,0.05,3007,1.0338,0.046659
1,2,120,0.08,0.05,3018.6,1.0087,0.069887
1,2,120,0.09,0.05,2985.6,0.9835,0.093081
1,2,120,0.1,0.05,2886.6,0.94076,0.13249
1,2,120,0.11,0.05,2837.3,0.94076,0.13249
1,2,120,0.12,0.05,2784,0.94076,0.13249
1,2,120,0.14,0.05,2678.9,0.94076,0.13249
1,2,120,0.15,0.05,2642.6,0.94076,0.13249
1,2,120,0.16,0.05,2609.9,0.94089,0.13237
1,2,120,0.17,0.05,2579.9,0.9411,0.13218
1,2,120,0.18,0.05,2552.1,0.94112,0.13216
1,2,120,0.2,0.05,2501.1,0.94103,0.13224
1,2,180,0.01,0.05,2934.1,1.0845,-8.9517e-05
1,2,180,0.03,0.05,2911.8,1.0871,-0.0024402
1,2,180,0.05,0.05,2859.1,1.0844,-2.0476e-16
1,2,180,0.06,0.05,2894.7,1.0592,0.023298
1,2,180,0.07,0.05,2904.9,1.0338,0.046659
1,2,180,0.09,0.05,2836.4,0.9835,0.093081
1,2,180,0.1,0.05,2723.6,0.94076,0.13249
1,2,180,0.11,0.05,2662.5,0.94076,0.13249
1,2,180,0.12,0.05,2597.1,0.94076,0.13249
1,2,180,0.13,0.05,2529.8,0.94076,0.13249
1,2,180,0.14,0.05,2468.5,0.94076,0.13249
1,2,180,0.16,0.05,2372.7,0.94089,0.13237
1,2,180,0.17,0.05,2328,0.9411,0.13218
1,2,180,0.18,0.05,2286.1,0.94112,0.13216
1,2,180,0.19,0.05,2246.8,0.94107,0.13221
1,2,180,0.2,0.05,2209.7,0.94103,0.13224
1,2,240,0.01,0.05,2926,1.0845,-8.9642e-05
1,2,240,0.02,0.05,2907.2,1.0858,-0.0012523
1,2,240,0.04,0.05,2852.8,1.0884,-0.0036542
1,2,240,0.05,0.05,2812.7,1.0844,-2.0476e-16
1,2,240,0.06,0.05,2816,1.0592,0.023298
1,2,240,0.08,0.05,2784.9,1.0087,0.069887
1,2,240,0.09,0.05,2730.3,0.9835,0.093081
1,2,240,0.1,0.05,2613.3,0.94076,0.13249
1,2,240,0.11,0.05,2538.6,0.94076,0.13249
1,2,240,0.13,0.05,2384.5,0.94076,0.13249
1,2,240,0.14,0.05,2313.3,0.94076,0.13249
1,2,240,0.15,0.05,2250.3,0.94076,0.13249
1,2,240,0.16,0.05,2195.1,0.94089,0.13237
1,2,240,0.17,0.05,2144,0.9411,0.13218
1,2,240,0.19,0.05,2050.5,0.94107,0.13221
1,2,240,0.2,0.05,2009.1,0.94103,0.13224
1,2,300,0.01,0.05,2917.4,1.0845,-8.9642e-05
1,2,300,0.02,0.05,2889.3,1.0858,-0.0012523
1,2,300,0.03,0.05,2858.6,1.0871,-0.0024402
1,2,300,0.04,0.05,2824.3,1.0884,-0.0036542
1,2,300,0.05,0.05,2784.5,1.0844,-2.0476e-16
1,2,300,0.06,0.05,2772.6,1.0592,0.023298
1,2,300,0.08,0.05,2714.6,1.0087,0.069887
1,2,300,0.09,0.05,2642.1,0.9835,0.093081
1,2,300,0.1,0.05,2514.5,0.94076,0.13249
1,2,300,0.11,0.05,2435,0.94076,0.13249
1,2,300,0.12,0.05,2357.4,0.94076,0.13249
1,2,300,0.13,0.05,2283,0.94076,0.13249
1,2,300,0.14,0.05,2216,0.94076,0.13249
1,2,300,0.15,0.05,2157.7,0.94076,0.13249
1,2,300,0.16,0.05,2106,0.94089,0.13237
1,2,300,0.17,0.05,2059.8,0.9411,0.13218
1,2,300,0.18,0.05,2018.4,0.94112,0.13216
1,2,300,0.19,0.05,1981.7,0.94107,0.13221
1,2,300,0.2,0.05,1950.8,0.94103,0.13224
1,2,360,0.01,0.05,2909.2,1.0847,-0.00022557
1,2,360,0.02,0.05,2871.4,1.0858,-0.0012523
1,2,360,0.03,0.05,2829.2,1.0871,-0.0024402
1,2,360,0.04,0.05,2780.7,1.0884,-0.0036542
1,2,360,0.05,0.05,2729,1.0844,-2.0476e-16
1,2,360,0.06,0.05,2717.8,1.0592,0.023298
1,2,360,0.07,0.05,2683.7,1.0338,0.046659
1,2,360,0.08,0.05,2629.3,1.0087,0.069887
1,2,360,0.09,0.05,2555.9,0.9835,0.093081
