i,j,delta,beta,priority,integral,max_delta,pi,L_i,v_i,w_i,q_max_i,rho_max_i,L_j,v_j,w_j,q_max_j,rho_max_j
1,2,60,0.01,0.05,2940.12,1.08452,-6.97025e-05,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,60,0.02,0.05,2936.79,1.08578,-0.00123131,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,60,0.03,0.05,2933.54,1.08706,-0.00241902,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,60,0.04,0.05,2930.33,1.08838,-0.00363358,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,60,0.05,0.05,2935.02,1.08444,-2.04755e-16,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,60,0.06,0.05,3026.16,1.05917,0.0232979,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,60,0.07,0.05,3084.13,1.03384,0.0466593,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,60,0.1,0.05,3020.31,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,60,0.11,0.05,2991.42,0.940777,0.132476,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,60,0.12,0.05,2958.88,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,60,0.13,0.05,2924.47,0.940799,0.132456,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,60,0.14,0.05,2893.81,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,60,0.16,0.05,2842.6,0.940893,0.13237,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,60,0.18,0.05,2799.94,0.941123,0.132158,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,60,0.19,0.05,2780.91,0.94107,0.132206,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,120,0.01,0.05,2936.73,1.08454,-8.94928e-05,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,120,0.02,0.05,2929.6,1.0858,-0.00125201,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,120,0.03,0.05,2922.05,1.08709,-0.00243968,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,120,0.04,0.05,2913.92,1.0884,-0.00365333,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,120,0.06,0.05,2973.03,1.05917,0.0232979,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,120,0.07,0.05,3007,1.03384,0.0466593,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,120,0.08,0.05,3018.6,1.00865,0.069887,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,120,0.09,0.05,2985.65,0.983499,0.093081,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,120,0.1,0.05,2886.58,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,120,0.11,0.05,2837.34,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,120,0.12,0.05,2783.99,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,120,0.14,0.05,2678.88,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,120,0.15,0.05,2642.59,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,120,0.16,0.05,2609.87,0.940893,0.13237,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,120,0.17,0.05,2579.88,0.9411,0.132179,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,120,0.18,0.05,2552.09,0.941123,0.132158,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,120,0.2,0.05,2501.14,0.941028,0.132245,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,180,0.01,0.05,2934.11,1.08454,-8.95169e-05,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,180,0.03,0.05,2911.81,1.08709,-0.00244017,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,180,0.05,0.05,2859.05,1.08444,-2.04755e-16,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,180,0.06,0.05,2894.73,1.05917,0.0232979,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,180,0.07,0.05,2904.89,1.03384,0.0466593,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,180,0.09,0.05,2836.39,0.983499,0.093081,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,180,0.1,0.05,2723.65,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,180,0.11,0.05,2662.5,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,180,0.12,0.05,2597.11,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,180,0.13,0.05,2529.81,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,180,0.14,0.05,2468.54,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,180,0.16,0.05,2372.7,0.940893,0.13237,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,180,0.17,0.05,2328.04,0.9411,0.132179,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,180,0.18,0.05,2286.09,0.941123,0.132158,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,180,0.19,0.05,2246.82,0.94107,0.132206,0.61,103,29,1806,79,0.23,103,28,1874,85
