i,j,delta,beta,L_i,v_i,w_i,q_max_i,rho_max_i,L_j,v_j,w_j,q_max_j,rho_max_j,prediction
1,12,360,0.01,0.61,103,29,1806,79,0.53,104,29,1702,75,3082.24
7,9,720,0.14,0.59,104,40,1971,69,0.41,96,30,1730,76,1964.33
2,7,180,0.17,0.23,103,28,1874,85,0.59,104,40,1971,69,655.093
4,6,540,0.16,0.54,103,35,1858,71,0.31,103,39,2051,73,942.956
2,4,240,0.08,0.23,103,28,1874,85,0.54,103,35,1858,71,2431.79
1,3,60,0.05,0.61,103,29,1806,79,0.34,103,35,1805,69,2870.04
3,8,720,0.01,0.34,103,35,1805,69,0.6,96,28,1720,80,2987.7
5,12,360,0.14,0.29,103,38,1989,72,0.53,104,29,1702,75,98.3791
1,4,360,0.12,0.61,103,29,1806,79,0.54,103,35,1858,71,1674.92
8,9,300,0.02,0.6,96,28,1720,80,0.41,96,30,1730,76,6612.02
1,6,300,0.12,0.61,103,29,1806,79,0.31,103,39,2051,73,1228.58
2,9,720,0.06,0.23,103,28,1874,85,0.41,96,30,1730,76,2761.31
2,4,720,0.18,0.23,103,28,1874,85,0.54,103,35,1858,71,1319.65
12,13,180,0.2,0.53,104,29,1702,75,0.51,103,28,1726,78,1919.14
9,13,60,0.09,0.41,96,30,1730,76,0.51,103,28,1726,78,3298.49
1,2,720,0.14,0.61,103,29,1806,79,0.23,103,28,1874,85,1724.21
8,9,360,0.18,0.6,96,28,1720,80,0.41,96,30,1730,76,3741.62
2,11,600,0.01,0.23,103,28,1874,85,0.7,103,35,1925,74,3098.67
10,13,600,0.09,0.2,103,33,1846,74,0.51,103,28,1726,78,1715.78
5,12,180,0.17,0.29,103,38,1989,72,0.53,104,29,1702,75,106.245
3,10,240,0.09,0.34,103,35,1805,69,0.2,103,33,1846,74,1368.29
2,12,480,0.17,0.23,103,28,1874,85,0.53,104,29,1702,75,104.148
4,8,480,0.14,0.54,103,35,1858,71,0.6,96,28,1720,80,580.268
4,6,720,0.03,0.54,103,35,1858,71,0.31,103,39,2051,73,2718.82
3,4,540,0.19,0.34,103,35,1805,69,0.54,103,35,1858,71,1410.07
7,11,60,0.19,0.59,104,40,1971,69,0.7,103,35,1925,74,1676.33
2,9,300,0.11,0.23,103,28,1874,85,0.41,96,30,1730,76,633.978
9,10,60,0.16,0.41,96,30,1730,76,0.2,103,33,1846,74,2789.64
6,13,600,0.17,0.31,103,39,2051,73,0.51,103,28,1726,78,14.0714
10,11,180,0.07,0.2,103,33,1846,74,0.7,103,35,1925,74,2537.47
1,12,540,0.2,0.61,103,29,1806,79,0.53,104,29,1702,75,109.065
6,13,480,0.04,0.31,103,39,2051,73,0.51,103,28,1726,78,856.374
6,7,660,0.12,0.31,103,39,2051,73,0.59,104,40,1971,69,598.905
4,11,720,0.2,0.54,103,35,1858,71,0.7,103,35,1925,74,13.8019
3,9,600,0.06,0.34,103,35,1805,69,0.41,96,30,1730,76,2769.49
2,6,420,0.01,0.23,103,28,1874,85,0.31,103,39,2051,73,2938.11
1,3,240,0.09,0.61,103,29,1806,79,0.34,103,35,1805,69,2349.37
7,10,360,0.02,0.59,104,40,1971,69,0.2,103,33,1846,74,2756.6
6,9,120,0.02,0.31,103,39,2051,73,0.41,96,30,1730,76,3043.3
3,6,600,0.01,0.34,103,35,1805,69,0.31,103,39,2051,73,2864.75
10,11,600,0.04,0.2,103,33,1846,74,0.7,103,35,1925,74,2727.31
1,13,600,0.05,0.61,103,29,1806,79,0.51,103,28,1726,78,14.2764
7,11,660,0.04,0.59,104,40,1971,69,0.7,103,35,1925,74,2476.37
1,13,420,0.19,0.61,103,29,1806,79,0.51,103,28,1726,78,14.0714
2,12,720,0.18,0.23,103,28,1874,85,0.53,104,29,1702,75,101.865
9,13,120,0.15,0.41,96,30,1730,76,0.51,103,28,1726,78,4584.83
3,11,180,0.01,0.34,103,35,1805,69,0.7,103,35,1925,74,2987.83
5,13,180,0.04,0.29,103,38,1989,72,0.51,103,28,1726,78,775.684
6,12,60,0.03,0.31,103,39,2051,73,0.53,104,29,1702,75,3217.92
1,3,540,0.2,0.61,103,29,1806,79,0.34,103,35,1805,69,1606.98
2,4,540,0.16,0.23,103,28,1874,85,0.54,103,35,1858,71,1423.76
3,8,720,0.2,0.34,103,35,1805,69,0.6,96,28,1720,80,502.544
5,9,720,0.04,0.29,103,38,1989,72,0.41,96,30,1730,76,2879.52
3,7,420,0.19,0.34,103,35,1805,69,0.59,104,40,1971,69,530.837
3,7,180,0.01,0.34,103,35,1805,69,0.59,104,40,1971,69,2961.63
10,13,120,0.08,0.2,103,33,1846,74,0.51,103,28,1726,78,1743.32
2,7,480,0.2,0.23,103,28,1874,85,0.59,104,40,1971,69,515.63
7,8,600,0.14,0.59,104,40,1971,69,0.6,96,28,1720,80,2007.36
5,10,240,0.08,0.29,103,38,1989,72,0.2,103,33,1846,74,2326.73
4,5,300,0.15,0.54,103,35,1858,71,0.29,103,38,1989,72,1381.66
4,5,180,0.16,0.54,103,35,1858,71,0.29,103,38,1989,72,1516.19
7,11,240,0.1,0.59,104,40,1971,69,0.7,103,35,1925,74,1479.87
4,6,60,0.19,0.54,103,35,1858,71,0.31,103,39,2051,73,1367.46
11,13,540,0.12,0.7,103,35,1925,74,0.51,103,28,1726,78,1971.83
1,6,240,0.2,0.61,103,29,1806,79,0.31,103,39,2051,73,1045.08
9,13,420,0.07,0.41,96,30,1730,76,0.51,103,28,1726,78,2464.15
4,6,240,0.03,0.54,103,35,1858,71,0.31,103,39,2051,73,2807.58
1,10,540,0.04,0.61,103,29,1806,79,0.2,103,33,1846,74,3526.42
8,12,540,0.17,0.6,96,28,1720,80,0.53,104,29,1702,75,4696.55
